CONTROLE FINANCEIRO 2026,,,,,,,,,,,
JANEIRO,,FEVEREIRO,,MARÇO,,ABRIL,,MAIO,,JUNHO,
CARTÃO SÃO VICENTE ,"R$ 122,00",CARTÃO SÃO VICENTE ,"R$ 220,00",CARRO 22(48),"R$ 605,00",CARRO 23(48),"R$ 605,00",CARRO 24(48),"R$ 605,00",CARRO 25(48),"R$ 605,00"
CARRO,"R$ 605,00",CARRO,"R$ 605,00",SÃO VICENTE,"R$ 195,00",SEGURO DO CARRO,"R$ 178,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00"
SEGURO DO CARRO,"R$ 178,00",SEGURO DO CARRO,"R$ 178,00",SEGURO DO CARRO,"R$ 178,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00"
CPFL,"R$ 370,00",TAMARA ,"R$ 200,00",CLARO LETÍCIA ,"R$ 62,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00"
INTERNET,"R$ 109,00",CARTÃO SÃO VICENTE ,"R$ 150,00",VAN ESCOLAR,"R$ 220,00",BABÁ,"R$ 239,00",BABÁ,"R$ 91,00",BABÁ,"R$ 250,00"
CLARO,"R$ 62,00",CLARO ,"R$ 62,00",BABÁ,"R$ 265,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00"
VAN ESCOLAR ,"R$ 200,00",VAN ESCOLAR,"R$ 220,00",INTERNET ,"R$ 100,00",CAROL 5(8),"R$ 135,00",CAROL 6(8),"R$ 135,00",CAROL 7(8),"R$ 135,00"
BABÁ ,"R$ 400,00",BABÁ,"R$ 500,00",CAROL 4(8),"R$ 195,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00"
CARTÃO DO LUIZ,"R$ 550,00",CARTÃO LUIZ,"R$ 1 000,00",GÁS ,"R$ 32,45",MOCHILA ESCOLAR 3(10),"R$ 54,00",MOCHILA ESCOLAR 4(10),"R$ 54,00",MOCHILA ESCOLAR 5(10),"R$ 54,00"
PNEU,"R$ 180,00",PNEU ,"R$ 88,00",MOCHILA ESCOLAR 2(10),"R$ 54,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00"
CAROL 2(8),"R$ 135,00",CAROL 3(8),"R$ 195,00",CARTÃO LUIZ ,"R$ 250,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00"
GÁS,"R$ 38,00",GÁS ,"R$ 35,00",FINANCIAMENTO,"R$ 1 400,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00"
,,MOCHILA ESCOLAR 1(10),"R$ 54,00",CLARO LUCAS ,"R$ 56,00",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29"
,,,,PENSÃO,"R$ 730,00",CPFL ,"R$ 292,96",CPFL ,"R$ 360,00",CPFL ,
,,,,CONDOMINIO ,"R$ 411,29",ACORDO CONDOMINIO 3(3),"R$ 345,00",FACULDADE LUCAS,"R$ 130,00",FACULDADE LUCAS,"R$ 130,00"
,,,,CPFL ,"R$ 329,95",FACULDADE LUCAS,"R$ 130,00",IPTU 3(7),"R$ 109,00",IPTU 4(7),"R$ 109,00"
,,,,FACULDADE LUCAS,"R$ 130,00",IPTU 2(7),"R$ 109,00",IPVA 3(5),"R$ 154,41",PVA 4(5),"R$ 154,41"
,,,,ACORDO CONDOMINIO 2(3),"R$ 345,00",IPVA 2(5),"R$ 154,41",BICICLETA ALICE 2(5),"R$ 46,38",BICICLETA ALICE 3(5),"R$ 46,38"
,,,,IPTU 1(7),"R$ 109,00",BICICLETA ALICE 1(5),"R$ 46,38",GASOLINA CARTÃO LUIZ,"R$ 100,00",CELULAR LETÍCIA  2(10),"R$ 125,00"
,,,,IPVA 1(5),"R$ 154,41",REMEDIO ALICE,"R$ 118,00",PIZZA,"R$ 45,00",,
,,,,,,INSTRUMENT ,"R$ 190,00",CELULAR LETÍCIA  1(10),"R$ 125,00",,
,,,,,,PÁSCOA,"R$ 140,00",,,,
TOTAL CONTAS,"R$ 2 949,00",TOTAL CONTAS,"R$ 3 507,00",TOTAL CONTAS,"R$ 5 822,10",TOTAL CONTAS,"R$ 5 751,04",TOTAL CONTAS,"R$ 4 877,08",TOTAL CONTAS,"R$ 4 701,08"
ENTRADA 1 (SALÁRIO),"R$ 2 500,00",ENTRADA 1 (SALÁRIO),"R$ 2 500,00",ENTRADA 1 (SALÁRIO),"R$ 2 500,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00"
ENTRADA 2,,ENTRADA 2,,ENTRADA 2,"R$ 1 950,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00"
ENTRADA 3,,ENTRADA 3,,ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00"
ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,
ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,
,,,,,,,,,,,
SALDO,"-R$ 449,00",SALDO,"-R$ 1 007,00",SALDO,"R$ 127,90",SALDO,"-R$ 251,04",SALDO,"R$ 622,92",SALDO,"R$ 798,92"
JULHO,,AGOSTO,,SETEMBRO,,OUTUBRO,,NOVEMBRO,,DEZEMBRO,
CARRO 26(48),"R$ 605,00",CARRO 27(48),"R$ 605,00",CARRO 28(48),"R$ 605,00",CARRO 29(48),"R$ 605,00",CARRO 30(48),"R$ 605,00",CARRO 30(48),"R$ 605,00"
SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00",SEGURO DO CARRO,"R$ 78,00"
CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00",CLARO LETÍCIA ,"R$ 62,00"
VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00",VAN ESCOLAR,"R$ 220,00"
BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00",BABÁ,"R$ 250,00"
INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00",INTERNET ,"R$ 100,00"
CAROL 8(8),"R$ 135,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00",GÁS ,"R$ 35,00"
GÁS ,"R$ 35,00",MOCHILA ESCOLAR 7(10),"R$ 54,00",MOCHILA ESCOLAR 8(10),"R$ 54,00",MOCHILA ESCOLAR 9(10),"R$ 54,00",MOCHILA ESCOLAR 10(10),"R$ 54,00",FINANCIAMENTO,"R$ 1 400,00"
MOCHILA ESCOLAR 6(10),"R$ 54,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00",FINANCIAMENTO,"R$ 1 400,00",CLARO LUCAS ,"R$ 56,00"
FINANCIAMENTO,"R$ 1 400,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00",CLARO LUCAS ,"R$ 56,00",PENSÃO,"R$ 730,00"
CLARO LUCAS ,"R$ 56,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00",PENSÃO,"R$ 730,00",CONDOMINIO ,"R$ 411,29"
PENSÃO,"R$ 730,00",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29",CONDOMINIO ,"R$ 411,29",CPFL ,"R$ 292,96"
CONDOMINIO ,"R$ 411,29",CPFL ,"R$ 292,96",CPFL ,"R$ 292,96",CPFL ,"R$ 292,96",CPFL ,"R$ 292,96",FACULDADE LUCAS,"R$ 130,00"
CPFL ,"R$ 292,96",FACULDADE LUCAS,"R$ 130,00",FACULDADE LUCAS,"R$ 130,00",FACULDADE LUCAS,"R$ 130,00",FACULDADE LUCAS,"R$ 130,00",CELULAR LETÍCIA  8(10),"R$ 125,00"
FACULDADE LUCAS,"R$ 130,00",IPTU 6(7),"R$ 109,00",IPTU 7(7),"R$ 109,00",CELULAR LETÍCIA  6(10),"R$ 125,00",CELULAR LETÍCIA  7(10),"R$ 125,00",,
IPTU 5(7),"R$ 109,00",BICICLETA ALICE 5(5),"R$ 46,38",CELULAR LETÍCIA  5(10),"R$ 125,00",,,,,,
IPVA 5(5),"R$ 154,41",CELULAR LETÍCIA  4(10),"R$ 125,00",,,,,,,,
BICICLETA ALICE 4(5),"R$ 46,38",,,,,,,,,,
CELULAR LETÍCIA  3(10),"R$ 125,00",,,,,,,,,,
TOTAL CONTAS,"R$ 4 869,04",TOTAL CONTAS,"R$ 4 704,63",TOTAL CONTAS,"R$ 4 658,25",TOTAL CONTAS,"R$ 4 549,25",TOTAL CONTAS,"R$ 4 549,25",TOTAL CONTAS,"R$ 4 495,25"
ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00",ENTRADA 1 (SALÁRIO),"R$ 1 900,00"
ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00",ENTRADA 2,"R$ 2 100,00"
ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00",ENTRADA 3,"R$ 1 500,00"
ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,,ENTRADA 4,
ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,,ENTRADA 5,
,,,,,,,,,,,
SALDO,"R$ 630,96",SALDO,"R$ 795,37",SALDO,"R$ 841,75",SALDO,"R$ 950,75",SALDO,"R$ 950,75",SALDO,"R$ 1 004,75"